category,feature
mental-filtering,can only think
mental-filtering,nothing good
mental-filtering,nothing right
mental-filtering,completely bad
mental-filtering,completely wrong
mental-filtering,only the bad
mental-filtering,only the worst
mental-filtering,if I just
mental-filtering,if I only
mental-filtering,if it just
mental-filtering,if it only
mindreading,everyone believes
mindreading,everyone knows
mindreading,everyone thinks
mindreading,everyone will believe
mindreading,everyone will know
mindreading,everyone will think
mindreading,nobody believes
mindreading,nobody knows
mindreading,nobody thinks
mindreading,nobody will believe
mindreading,nobody will know
mindreading,nobody will think
mindreading,he believes
mindreading,he knows
mindreading,he thinks
mindreading,he does not believe
mindreading,he does not know
mindreading,he does not think
mindreading,he will believe
mindreading,he will know
mindreading,he will think
mindreading,he will not believe
mindreading,he will not know
mindreading,he will not think
mindreading,she believes
mindreading,she knows
mindreading,she thinks
mindreading,she does not believe
mindreading,she does not know
mindreading,she does not think
mindreading,she will believe
mindreading,she will know
mindreading,she will think
mindreading,she will not believe
mindreading,she will not know
mindreading,she will not think
mindreading,they believe
mindreading,they know
mindreading,they think
mindreading,they do not believe
mindreading,they do not know
mindreading,they do not think
mindreading,they will believe
mindreading,they will know
mindreading,they will think
mindreading,they will not believe
mindreading,they will not know
mindreading,they will not think
mindreading,we believe
mindreading,we know
mindreading,we think
mindreading,we do not believe
mindreading,we do not know
mindreading,we do not think
mindreading,we will believe
mindreading,we will know
mindreading,we will think
mindreading,we will not believe
mindreading,we will not know
mindreading,we will not think
mindreading,you believe
mindreading,you know
mindreading,you think
mindreading,you do not believe
mindreading,you do not know
mindreading,you do not think
mindreading,you will believe
mindreading,you will know
mindreading,you will think
mindreading,you will not believe
mindreading,you will not know
mindreading,you will not think
overgeneralizing,all of the time
overgeneralizing,all of them
overgeneralizing,all the time
overgeneralizing,always happens
overgeneralizing,always like
overgeneralizing,happens every time
overgeneralizing,completely
overgeneralizing,no one ever
overgeneralizing,nobody ever
overgeneralizing,every single one of them
overgeneralizing,every single one of you
overgeneralizing,I always
overgeneralizing,you always
overgeneralizing,he always
overgeneralizing,she always
overgeneralizing,they always
overgeneralizing,I am always
overgeneralizing,you are always
overgeneralizing,he is always
overgeneralizing,she is always
overgeneralizing,they are always
personalizing,all me
personalizing,all my
personalizing,because I
personalizing,because my
personalizing,because of my
personalizing,because of me
personalizing,I am responsible
personalizing,blame me
personalizing,I caused
personalizing,I feel responsible
personalizing,all my doing
personalizing,all my fault
personalizing,my bad
personalizing,my responsibility
should_statement,should_statement
should_statement,ought
should_statement,must
should_statement,have to
should_statement,has to
